nu_inscricao;co_municipio_residencia;sg_uf_residencia;nu_idade;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;co_municipio_nascimento;sg_uf_nascimento;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;in_baixa_visao;in_cegueira;in_surdez;in_deficiencia_auditiva;in_surdo_cegueira;in_deficiencia_fisica;in_deficiencia_mental;in_deficit_atencao;in_dislexia;in_discalculia;in_autismo;in_visao_monocular;in_outra_def;in_gestante;in_lactante;in_idoso;in_estuda_classe_hospitalar;in_sem_recurso;in_braille;in_ampliada_24;in_ampliada_18;in_ledor;in_acesso;in_transcricao;in_libras;in_leitura_labial;in_mesa_cadeira_rodas;in_mesa_cadeira_separada;in_apoio_perna;in_guia_interprete;in_computador;in_cadeira_especial;in_cadeira_canhoto;in_cadeira_acolchoada;in_prova_deitado;in_mobiliario_obeso;in_lamina_overlay;in_protetor_auricular;in_medidor_glicose;in_maquina_braile;in_soroban;in_marca_passo;in_sonda;in_medicamentos;in_sala_individual;in_sala_especial;in_sala_acompanhante;in_mobiliario_especifico;in_material_especifico;in_nome_social;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tp_lingua;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025;q026;q027
170003336736;3503208;SP;29;F;0;1;1;3503208;SP;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;445.40;589.00;621.50;465.50;0;1;140.00;120.00;120.00;100.00;80.00;560.00;E;D;C;B;3 ;D;A;B;C;A;B;B;A;C;A;B;A;A;C;B;B;C;B;B;B;A;A
170003333545;5002902;MS;22;F;0;1;1;5002902;MS;1;5;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;C;E;B;B;4 ;C;A;B;D;B;B;B;A;A;A;B;A;A;B;A;A;C;B;A;A;A;A
170001663644;3550308;SP;38;F;0;1;1;3550308;SP;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;A;A;F;B;4 ;G;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B;A;A
170001663645;4209300;SC;35;F;0;1;1;4209300;SC;1;6;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;604.00;610.40;563.90;591.20;1;1;140.00;120.00;140.00;100.00;80.00;580.00;E;D;B;B;4 ;D;A;B;D;B;A;B;A;B;A;B;A;B;C;A;B;D;A;B;B;A;A
170001663646;2704302;AL;40;M;0;3;1;2704302;AL;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;482.10;569.20;570.80;584.60;0;1;140.00;120.00;120.00;120.00;80.00;580.00;A;B;B;F;3 ;C;A;B;B;A;B;B;A;A;A;A;A;A;B;B;A;C;A;C;B;A;A
170001663647;4303103;RS;20;F;0;1;1;4314902;RS;1;2;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;558.80;594.90;522.80;578.50;1;1;120.00;120.00;120.00;120.00;60.00;540.00;F;F;B;B;3 ;J;A;B;C;B;A;B;B;B;A;B;A;B;D;B;A;D;A;C;B;A;A
170003334115;4106902;PR;36;M;1;2;1;3550308;SP;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;625.90;636.80;588.30;607.50;1;1;100.00;100.00;80.00;80.00;40.00;400.00;C;D;B;B;2 ;D;A;B;B;B;A;B;A;B;A;B;A;B;B;A;A;C;A;B;B;A;A
170003334116;4214805;SC;18;F;0;1;1;4214805;SC;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;F;G;F;D;4 ;C;B;B;C;B;A;B;B;B;A;B;A;B;B;A;B;D;B;B;B;A;A
170003334117;4322509;RS;23;F;0;1;1;4322509;RS;1;6;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;B;B;A;A;1 ;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;A;A;A;A
170001669940;2607901;PE;23;M;0;3;1;2607901;PE;1;3;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;533.80;427.60;320.70;479.00;0;1;80.00;100.00;80.00;60.00;0.00;320.00;A;E;A;A;3 ;B;B;B;C;A;A;B;A;B;A;B;A;A;B;B;A;D;B;B;B;A;A
