id,rings
1512,5
1401,10
509,17
2883,13
3259,12
2135,19
1499,21
3597,2
2414,8
2327,8
1442,22
935,8
2394,17
2785,2
2430,24
1777,9
1484,6
1,2
1996,25
2664,26
1287,12
1051,8
3182,22
3576,10
3712,1
2273,12
2098,11
1171,12
1529,22
2383,6
1605,11
2073,15
2267,6
662,25
61,4
2868,27
1128,27
520,28
1751,12
581,2
822,11
2731,6
1658,6
3947,4
986,1
3535,27
1188,29
3908,23
1680,28
971,15
4131,14
2891,21
3253,6
4165,19
885,16
975,19
416,11
275,15
891,22
1176,17
2725,29
2039,10
1302,27
64,7
3593,27
808,26
631,23
626,18
1144,14
1581,16
360,13
580,1
860,20
1990,19
1709,28
1423,3
5,6
4094,6
1416,25
2269,8
303,14
3924,10
3258,11
364,17
3252,5
2943,15
1527,20
184,11
2918,19
1433,13
3277,1
3658,5
1186,27
595,16
3183,23
1553,17
2321,2
468,5
4065,6
1614,20
297,8
851,11
3144,13
320,2
3745,5
2720,24
507,15
3827,29
3274,27
570,20
3076,3
1798,1
1385,23
4079,20
3457,7
99,13
295,6
3770,1
4061,2
1375,13
2114,27
508,16
1053,10
3420,28
2692,25
1075,3
283,23
3405,13
610,2
911,13
2896,26
3829,2
3512,4
616,8
284,24
1584,19
1769,1
633,25
3707,25
3906,21
2498,5
2153,8
3062,18
3343,9
827,16
59,2
3505,26
301,12
3653,29
2156,11
1356,23
2179,5
485,22
2681,14
4087,28
2018,18
2928,29
1704,23
2014,14
116,1
2253,21
659,22
1931,18
1243,26
3598,3
2062,4
2808,25
3373,10
2072,14
1058,15
784,2
1325,21
1453,4
3824,26
2688,21
1604,10
3772,3
1810,13
3557,20
2272,11
1379,17
475,12
2951,23
4127,10
3006,20
3823,25
3592,26
396,20
892,23
841,1
4080,21
3724,13
2468,4
695,29
4040,10
4091,3
1415,24
3553,16
2633,24
1649,26
1067,24
2214,11
2832,20
1838,12
797,15
2222,19
814,3
2647,9
3407,15
439,5
1179,20
2317,27
435,1
3214,25
3099,26
2413,7
216,14
704,9
2083,25
1306,2
1881,26
2528,6
1980,9
1825,28
2471,7
578,28
781,28
2575,24
3909,24
1031,17
3644,20
3739,28
260,29
2581,1
3112,10
410,5
2567,16
3366,3
4036,6
3478,28
3116,14
335,17
2060,2
2672,5
1782,14
3293,17
74,17
1231,14
3580,14
3717,6
4124,7
741,17
3765,25
204,2
3152,21
17,18
2314,24
274,14
3749,9
3312,7
2605,25
4001,29
2701,5
1524,17
3639,15
3355,21
3559,22
2821,9
1662,10
302,13
1654,2
1487,9
887,18
3426,5
313,24
3004,18
3711,29
614,6
2402,25
667,1
643,6
1832,6
2379,2
183,10
312,23
2738,13
2279,18
2893,23
3102,29
3464,14
401,25
3165,5
2479,15
989,4
465,2
1811,14
500,8
3296,20
3158,27
2349,1
3352,18
1148,18
3785,16
245,14
2005,5
112,26
2519,26
115,29
1387,25
1261,15
2718,22
966,10
1021,7
2154,9
2186,12
4015,14
2449,14
2542,20
3233,15
2037,8
488,25
2566,15
2781,27
173,29
898,29
832,21
1603,9
2842,1
2999,13
562,12
3146,15
3721,10
3990,18
400,24
1218,1
3537,29
111,25
3695,13
3100,27
3435,14
3187,27
2625,16
1328,24
1490,12
1269,23
4043,13
2163,18
1341,8
3672,19
3734,23
3271,24
3735,24
1292,17
754,1
140,25
526,5
344,26
2592,12
1554,18
714,19
420,15
3926,12
3310,5
3746,6
2570,19
2790,7
1168,9
281,21
3353,19
3010,24
1247,1
1320,16
2490,26
3114,12
3439,18
1720,10
1180,21
3064,20
1684,3
3957,14
685,19
383,7
1564,28
3621,26
395,19
4086,27
2509,16
2836,24
2359,11
2820,8
2467,3
2148,3
2297,7
972,16
3571,5
3849,22
2386,9
3860,4
3508,29
427,22
4141,24
4130,13
4076,17
3430,9
2510,17
3246,28
3085,12
2811,28
3025,10
3203,14
2109,22
3480,1
1993,22
1664,12
2862,21
1692,11
1653,1
2160,15
3249,2
965,9
2044,15
1134,4
1814,17
2788,5
1321,17
226,24
1493,15
1110,9
1198,10
2936,8
2205,2
2130,14
382,6
1383,21
3188,28
4152,6
3012,26
3660,7
2947,19
2262,1
3605,10
1230,13
1272,26
2970,13
3278,2
1909,25
1299,24
4168,22
3937,23
2858,17
2830,18
1959,17
163,19
3708,26
1733,23
2333,14
493,1
1528,21
4073,14
3889,4
2856,15
853,13
3688,6
954,27
1137,7
2007,7
3368,5
3119,17
2209,6
907,9
2734,9
2099,12
2464,29
1334,1
2602,22
2508,15
3047,3
1987,16
241,10
1935,22
52,24
1155,25
859,19
1048,5
3276,29
2783,29
3359,25
3807,9
1997,26
1611,17
3495,16
1208,20
2391,14
2769,15
1508,1
923,25
3130,28
4100,12
3544,7
2593,13
4053,23
1045,2
2810,27
3279,3
537,16
823,12
3885,29
3804,6
2127,11
1717,7
3486,7
18,19
1443,23
3159,28
1660,8
1399,8
751,27
2569,18
2495,2
2802,19
1123,22
1683,2
305,16
3005,19
3151,20
1963,21
1901,17
1854,28
736,12
722,27
829,18
604,25
4119,2
4162,16
2673,6
391,15
2870,29
1714,4
3311,6
700,5
4,5
1577,12
193,20
764,11
2650,12
4041,11
1507,29
218,16
3693,11
2425,19
622,14
2025,25
3425,4
2093,6
2252,20
1531,24
2867,26
2211,8
591,12
977,21
340,22
876,7
3845,18
703,8
926,28
2541,19
1227,10
2594,14
1427,7
1851,25
2139,23
2070,12
602,23
590,11
1477,28
2128,12
1102,1
3264,17
849,9
1322,18
1016,2
2411,5
2705,9
1817,20
353,6
3455,5
1207,19
3235,17
2363,15
46,18
3816,18
4095,7
981,25
1688,7
1699,18
3960,17
1583,18
1059,16
1022,8
3138,7
2448,13
1805,8
2682,15
1879,24
2690,23
1947,5
3856,29
3587,21
1815,18
3954,11
1395,4
4170,24
721,26
2714,18
1029,15
2882,12
856,16
882,13
2,3
742,18
4134,17
801,19
1359,26
2020,20
2012,12
254,23
1346,13
404,28
2805,22
2450,15
3655,2
307,18
3462,12
2736,11
2631,22
2300,10
2427,21
3399,7
3951,8
783,1
588,9
3962,19
976,20
3014,28
3514,6
2142,26
756,3
611,3
2767,13
1937,24
2423,17
2787,4
3216,27
4062,3
3390,27
2793,10
3115,13
2466,2
107,21
1966,24
3812,14
2955,27
157,13
3822,24
1479,1
2864,23
794,12
3091,18
1040,26
1056,13
3872,16
2630,21
2318,28
3260,13
1989,18
3783,14
2322,3
1634,11
1077,5
3190,1
3727,16
29,1
1235,18
1962,20
110,24
467,4
2539,17
2923,24
1588,23
1358,25
1675,23
308,19
1632,9
4116,28
2922,23
642,5
1104,3
2934,6
3018,3
3791,22
3230,12
1992,21
2207,4
450,16
1455,6
1365,3
202,29
2366,18
914,16
1279,4
129,14
3786,17
2927,28
2208,5
3877,21
2444,9
3763,23
3082,9
3566,29
855,15
2184,10
2764,10
782,29
2791,8
2295,5
3234,16
1181,22
188,15
1988,17
162,18
3475,25
1761,22
1079,7
1885,1
3815,17
2796,13
2006,6
211,9
388,12
775,22
1673,21
2680,13
3024,9
759,6
1209,21
1904,20
3892,7
2924,25
2483,19
2784,1
3415,23
994,9
4132,15
1525,18
1920,7
3218,29
328,10
3784,15
712,17
57,29
2051,22
4121,4
2866,25
2590,10
2087,29
4140,23
1166,7
1458,9
790,8
1521,14
809,27
575,25
2144,28
3132,1
3666,13
2887,17
2097,10
3094,21
2175,1
2041,12
3412,20
980,24
3601,6
2115,28
1262,16
3280,4
599,20
3520,12
3933,19
3848,21
1495,17
1073,1
251,20
2361,13
3303,27
1843,17
4048,18
3681,28
3674,21
3762,22
2264,3
4021,20
80,23
54,26
1543,7
2760,6
660,23
3795,26
2744,19
1861,6
2555,4
863,23
3886,1
3756,16
757,4
3899,14
1883,28
2526,4
2312,22
786,4
3450,29
1373,11
707,12
190,17
3231,13
4012,11
4010,9
3308,3
1700,19
2957,29
930,3
3667,14
4060,1
2807,24
1762,23
799,17
778,25
3186,26
2904,5
2286,25
2445,10
461,27
3606,11
3656,3
3075,2
3950,7
1488,10
1740,1
1411,20
1197,9
1936,23
998,13
2584,4
1964,22
3864,8
1916,3
1517,10
3911,26
389,13
2244,12
2730,5
3509,1
3896,11
3997,25
2339,20
902,4
8,9
3686,4
2324,5
3844,17
3032,17
3564,27
2687,20
3622,27
2521,28
3481,2
4143,26
1340,7
1100,28
3942,28
224,22
3460,10
2993,7
2749,24
3759,19
4117,29
732,8
2829,17
2240,8
2606,26
762,9
1757,18
3531,23
999,14
2187,13
1061,18
10,11
1566,1
2248,16
1863,8
574,24
3410,18
2358,10
831,20
138,23
1229,12
3174,14
3104,2
1573,8
2578,27
1807,10
310,21
2512,19
2894,24
1625,2
2091,4
2465,1
2554,3
3977,5
556,6
2245,13
1877,22
524,3
1519,12
1677,25
2227,24
3588,22
2920,21
4058,28
3142,11
1870,15
2010,10
3502,23
362,15
1795,27
3255,8
3143,12
270,10
3162,2
158,14
3304,28
2469,5
2576,25
2852,11
3247,29
1475,26
513,21
1991,20
624,16
137,22
326,8
2486,22
648,11
2023,23
309,20
1908,24
1913,29
734,10
818,7
1845,19
2889,19
2536,14
3287,11
4034,4
3413,21
2604,24
2426,20
3944,1
1689,8
1160,1
3623,28
365,18
1170,11
474,11
93,7
2847,6
2717,21
2500,7
234,3
2061,3
1191,3
1285,10
2183,9
3776,7
3752,12
606,27
1784,16
518,26
2417,11
3470,20
3327,22
3199,10
795,13
2195,21
2806,23
2822,10
30,2
1440,20
903,5
671,5
586,7
3722,11
3466,16
3229,11
3436,15
3256,9
333,15
3148,17
539,18
1627,4
2162,17
1239,22
3120,18
3051,7
3952,9
3550,13
291,2
3002,16
2015,15
2840,28
905,7
3939,25
2619,10
4146,29
1351,18
657,20
123,8
1875,20
2518,25
1576,11
3927,13
702,7
2753,28
201,28
219,17
881,12
3585,19
3185,25
1060,17
3895,10
1545,9
2913,14
1130,29
1967,25
213,11
2289,28
625,17
2603,23
635,27
984,28
1547,11
1939,26
1483,5
2601,21
4039,9
122,7
706,11
1172,13
3393,1
1034,20
1425,5
3095,22
3599,4
3360,26
3782,13
3416,24
2287,26
1896,12
3052,8
2667,29
2960,3
1848,22
3090,17
38,10
1516,9
15,16
3068,24
3928,14
2697,1
2589,9
1159,29
2147,2
1143,13
165,21
2231,28
276,16
3788,19
2620,11
1776,8
3936,22
1142,12
773,20
3718,7
1555,19
1906,22
76,19
634,26
2421,15
1970,28
1163,4
252,21
31,3
160,16
4109,21
619,11
2266,5
1008,23
273,13
98,12
3720,9
1844,18
336,18
1629,6
3292,16
718,23
337,19
3294,18
4088,29
1912,28
3045,1
3999,27
334,16
3787,18
2380,3
1439,19
120,5
523,2
1779,11
946,19
3008,22
4005,4
2670,3
1542,6
2352,4
2234,2
1177,18
1449,29
338,20
1747,8
696,1
735,11
3732,21
2563,12
612,4
854,14
316,27
458,24
2155,10
23,24
2242,10
1266,20
4150,4
1236,19
3858,2
3184,24
3381,18
3556,19
2953,25
1869,14
82,25
627,19
3771,2
2477,13
785,3
924,26
2801,18
78,21
3766,26
3634,10
1316,12
2640,2
3679,26
2094,7
1002,17
3525,17
2639,1
81,24
1489,11
2065,7
411,6
1386,24
3019,4
3518,10
2218,15
3133,2
566,16
2159,14
1459,10
2945,17
3156,25
698,3
323,5
147,3
182,9
678,12
2906,7
1497,19
2170,25
164,20
3651,27
374,27
1035,21
2800,17
925,27
617,9
