o0
Model	Score	Std Dev	Time (ms)
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.031983	0	13556
13	MLPRegressor(activation='logistic', alpha=0.00...	2.056330	0	34380
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.084522	0	1038
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.101305	0	2033
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.108245	0	2916
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.117164	0	5689
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.130020	0	416
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.163615	0	7695
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.174379	0	8774
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.182189	0	23
4	RANSACRegressor(base_estimator=None, is_data_v...	2.183960	0	2110
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.191796	0	53
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.192325	0	56
6	SGDRegressor(alpha=1e-06, average=False, early...	2.208977	0	675
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.231502	0	2195
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.250374	0	8437
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.391605	0	87
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.441148	0	53
3	Perceptron(alpha=1e-06, class_weight=None, ear...	4.039379	0	445
10	GaussianNB(priors=None, var_smoothing=0.1)	5.764460	0	256

o1
	Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.021990	0	25078
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.063034	0	10895
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.096407	0	1949
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.111179	0	1154
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.112090	0	2471
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.133355	0	4657
