id,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
2758,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10
1384,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
1131,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
3726,I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
3445,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
817,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
2742,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
3757,I,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
2609,F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11
2728,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
1219,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
4163,I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9
154,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
3887,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9
533,F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
4007,F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11
3202,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
3206,I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
1223,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6
1291,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
3371,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
1402,M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
1278,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
2304,M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11
1597,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
3741,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
2281,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
4145,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
1552,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
1485,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
1716,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
1421,F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13
2925,I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
1595,M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,9
3043,M,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10
3612,M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
3503,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
408,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
3682,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11
2182,M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13
2481,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
2739,I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
2740,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
