FlightRecord,IsDepDelayed
24620,NO
25358,NO
7917,YES
10685,YES
26646,NO
35889,YES
7578,NO
8630,NO
4287,YES
20840,NO
38132,NO
42196,NO
8732,NO
1138,NO
11078,NO
42851,YES
10352,NO
5636,NO
19351,YES
38997,YES
36991,YES
24688,NO
19550,NO
36598,NO
3000,NO
5224,NO
20907,YES
42150,NO
29120,NO
1650,NO
36458,NO
6816,NO
12610,NO
38323,YES
36015,YES
14624,NO
2272,NO
25359,YES
11365,YES
40834,NO
39866,NO
1594,NO
25694,NO
32326,NO
15100,NO
9792,NO
5852,NO
3953,YES
17323,YES
31289,YES
10019,YES
20912,NO
23834,NO
15784,NO
38594,NO
38235,YES
19698,NO
8677,YES
5591,YES
4837,YES
3395,YES
33353,YES
5761,YES
16671,YES
23767,YES
1638,NO
23452,NO
42026,NO
31814,NO
22879,YES
16317,YES
19775,YES
15093,YES
17158,NO
37374,NO
12936,NO
29149,YES
36657,YES
31402,NO
28403,YES
16403,YES
10796,NO
35906,NO
18793,YES
6852,NO
16409,YES
10844,NO
26518,NO
7936,NO
18484,NO
43280,NO
8523,YES
38375,YES
22101,YES
13098,NO
27454,NO
32208,NO
22119,YES
15899,YES
36823,YES
37365,YES
34865,YES
32894,NO
19538,NO
9631,YES
21944,NO
36841,YES
7335,YES
36037,YES
41549,YES
30789,YES
32574,NO
35864,NO
38459,YES
36495,YES
13513,YES
9493,YES
8333,YES
14901,YES
3774,NO
30566,NO
42106,NO
15411,YES
30531,YES
12228,NO
243,YES
2399,YES
12457,YES
11946,NO
32678,NO
10263,YES
108,NO
18732,NO
8359,YES
7624,NO
18565,YES
19118,NO
19294,NO
10870,NO
24371,YES
27375,YES
3691,YES
21951,YES
37264,NO
40003,YES
31693,YES
39946,NO
10267,YES
14741,YES
40374,NO
36853,YES
5477,YES
25721,YES
27410,NO
32752,NO
13489,YES
19257,YES
20010,NO
24016,NO
41365,YES
5932,NO
4836,NO
13400,NO
29143,YES
1364,NO
27492,NO
2717,YES
6734,NO
26896,NO
16752,NO
43501,YES
35592,NO
30552,NO
26069,YES
34135,YES
33363,YES
4215,YES
18040,NO
6501,YES
6930,NO
41012,NO
22834,NO
36973,YES
7437,YES
7261,YES
17821,YES
31216,NO
38955,YES
5274,NO
19681,YES
14235,YES
32703,YES
32895,YES
24282,NO
29063,YES
16759,YES
39200,NO
20936,NO
36660,NO
8574,NO
11131,YES
37487,YES
18836,NO
21337,YES
25248,NO
28477,YES
43567,YES
26166,NO
6738,NO
30541,YES
7343,YES
1568,NO
9156,NO
13292,NO
37826,NO
37422,NO
28095,YES
29983,YES
10931,YES
10630,NO
38218,NO
13653,YES
24930,NO
5713,YES
30557,YES
13959,YES
1134,NO
35524,NO
20068,NO
16280,NO
8010,NO
307,YES
5892,NO
41940,NO
18271,YES
7721,YES
248,NO
36493,YES
34412,NO
27402,NO
29531,YES
16486,NO
22931,YES
35002,NO
25010,NO
26206,NO
5910,NO
27441,YES
16994,NO
26094,NO
30679,YES
29736,NO
3213,YES
28418,NO
6025,YES
81,YES
5577,YES
38194,NO
33449,YES
14382,NO
43690,NO
12633,YES
33248,NO
30937,YES
37017,YES
2032,NO
41495,YES
451,YES
17865,YES
13466,NO
8679,YES
39522,NO
34806,NO
5122,NO
20761,YES
16238,NO
13537,YES
37375,YES
17037,YES
7588,NO
7235,YES
23156,NO
26581,YES
2984,NO
9289,YES
3370,NO
41306,NO
4936,NO
39355,YES
38898,NO
42152,NO
25402,NO
42483,YES
35817,YES
30112,NO
18507,YES
23585,YES
3946,NO
36647,YES
30650,NO
5978,NO
30760,NO
34745,YES
35492,NO
23383,YES
6876,NO
11548,NO
28782,NO
10239,YES
791,YES
2724,NO
18100,NO
13278,NO
42963,YES
40654,NO
18413,YES
14807,YES
4110,NO
32130,NO
27087,YES
40226,NO
40243,YES
30550,NO
11029,YES
15025,YES
8915,YES
22836,NO
12974,NO
1293,YES
32111,YES
42707,YES
43832,NO
30441,YES
24572,NO
30632,NO
6581,YES
39978,NO
13535,YES
16060,NO
242,NO
7746,NO
8792,NO
14192,NO
41764,NO
3220,NO
16128,NO
1065,YES
30551,YES
41640,NO
5389,YES
31490,NO
27347,YES
26151,YES
20303,YES
23595,YES
7463,YES
17873,YES
38649,YES
40684,NO
40365,YES
20718,NO
40135,YES
7616,NO
13358,NO
7265,YES
39852,NO
37039,YES
13036,NO
22069,YES
9337,YES
37160,NO
13645,YES
21125,YES
816,NO
14380,NO
34255,YES
10432,NO
35687,YES
29184,NO
14872,NO
30062,NO
24450,NO
3287,YES
21290,NO
21499,YES
219,YES
2547,YES
37469,YES
24846,NO
17419,YES
18306,NO
36611,YES
33747,YES
30113,YES
18469,YES
21849,YES
34061,YES
32204,NO
32406,NO
20777,YES
34382,NO
6174,NO
35437,YES
41031,YES
22050,NO
27589,YES
19744,NO
3595,YES
18068,NO
21016,NO
26284,NO
38718,NO
11652,NO
1128,NO
40851,YES
28882,NO
2712,NO
10554,NO
40597,YES
382,NO
10742,NO
34378,NO
4350,NO
4971,YES
28967,YES
17082,NO
20317,YES
40208,NO
43808,NO
1181,YES
26223,YES
42920,NO
38965,YES
32506,NO
43563,YES
29351,YES
11403,YES
38998,NO
9,YES
31220,NO
23445,YES
5790,NO
34500,NO
1198,NO
29942,NO
27596,NO
12804,NO
36250,NO
18451,YES
34328,NO
9186,NO
39199,YES
2608,NO
5940,NO
11283,YES
30325,YES
9330,NO
3356,NO
10682,NO
918,NO
34896,NO
8405,YES
41357,YES
33638,NO
6897,YES
42967,YES
30050,NO
10973,YES
43384,NO
19044,NO
6948,NO
39653,YES
17055,YES
28807,YES
38166,NO
5222,NO
25892,NO
19401,YES
23209,YES
18794,NO
36133,YES
43448,NO
29802,NO
42276,NO
7053,YES
21490,NO
20330,NO
38609,YES
18849,YES
7094,NO
15285,YES
18594,NO
9855,YES
29648,NO
27403,YES
5724,NO
33273,YES
41435,YES
43753,YES
41360,NO
39509,YES
460,NO
21593,YES
38545,YES
35357,YES
5829,YES
26674,NO
36009,YES
28074,NO
11593,YES
31603,YES
35812,NO
19643,YES
9007,YES
11132,NO
14885,YES
16946,NO
40025,YES
22456,NO
26966,NO
13589,YES
11689,YES
28129,YES
2540,NO
25262,NO
30912,NO
29860,NO
34654,NO
33376,NO
20161,YES
42396,NO
19897,YES
13672,NO
38516,NO
32823,YES
29695,YES
13389,YES
23241,YES
34823,YES
2050,NO
29563,YES
43928,NO
12510,NO
5502,NO
4878,NO
36746,NO
14888,NO
26724,NO
31146,NO
21058,NO
1329,YES
7691,YES
31070,NO
20005,YES
42173,YES
24676,NO
23121,YES
32263,YES
11169,YES
23533,YES
28087,YES
31630,NO
22010,NO
37118,NO
42937,YES
20277,YES
16150,NO
19629,YES
738,NO
11107,YES
26699,YES
13628,NO
3791,YES
4014,NO
33224,NO
23496,NO
22826,NO
5050,NO
38931,YES
20868,NO
808,NO
16038,NO
36739,YES
6208,NO
9950,NO
6296,NO
13801,YES
16327,YES
5010,NO
2627,YES
9149,YES
28312,NO
34753,YES
13852,NO
9151,YES
26723,YES
4360,NO
30925,YES
17466,NO
29871,YES
10135,YES
5633,YES
39064,NO
6555,YES
29758,NO
18940,NO
42974,NO
7400,NO
5467,YES
18886,NO
15030,NO
23908,NO
33660,NO
42477,YES
26145,YES
33127,YES
23977,YES
4902,NO
43507,YES
29123,YES
15304,NO
21975,YES
23411,YES
24865,YES
12852,NO
7358,NO
20251,YES
23484,NO
31252,NO
16869,YES
37813,YES
43319,YES
24780,NO
15950,NO
31203,YES
237,YES
8944,NO
17844,NO
38509,YES
23561,YES
1127,YES
14456,NO
21522,NO
29396,NO
43744,NO
32644,NO
13805,YES
15063,YES
40801,YES
8303,YES
12854,NO
8045,YES
27192,NO
16255,YES
22484,NO
20744,NO
43581,YES
7480,NO
35327,YES
4187,YES
19739,YES
17320,NO
10788,NO
10228,NO
2478,NO
18749,YES
8965,YES
39337,YES
2851,YES
23055,YES
18650,NO
36520,NO
10235,YES
26147,YES
17416,NO
15125,YES
21624,NO
23175,YES
7562,NO
1738,NO
1728,NO
39410,NO
26939,YES
16798,NO
9282,NO
34473,YES
11133,YES
32461,YES
23914,NO
37323,YES
32878,NO
2761,YES
12168,NO
3300,NO
43339,YES
27001,YES
16200,NO
34803,YES
7252,NO
36803,YES
11891,YES
25616,NO
28018,NO
21853,YES
1504,NO
15696,NO
32625,YES
12558,NO
41767,YES
32059,YES
32311,YES
14712,NO
17034,NO
22613,YES
37047,YES
14846,NO
38486,NO
9706,NO
28812,NO
27214,NO
29502,NO
32034,NO
10251,YES
1439,YES
9751,YES
35751,YES
15570,NO
41896,NO
39533,YES
17616,NO
20217,YES
657,YES
18092,NO
35806,NO
2477,YES
17124,NO
39672,NO
42201,YES
7865,YES
25302,NO
16835,YES
17675,YES
36394,NO
21445,YES
37782,NO
22417,YES
3344,NO
14105,YES
8105,YES
35189,YES
25265,YES
20884,NO
30253,YES
41609,YES
8829,YES
17108,NO
9410,NO
13251,YES
34054,NO
11985,YES
40230,NO
3651,YES
43520,NO
26162,NO
34003,YES
34771,YES
43592,NO
13518,NO
18755,YES
35173,YES
31936,NO
7041,YES
6644,NO
27121,YES
5655,YES
21520,NO
40815,YES
3899,YES
32194,NO
7839,YES
30098,NO
21045,YES
30913,YES
27587,YES
28107,YES
42293,YES
16182,NO
14108,NO
19680,NO
3549,YES
21227,YES
38871,YES
7528,NO
30384,NO
33931,YES
28893,YES
37615,YES
29585,YES
24185,YES
10342,NO
14308,NO
7100,NO
29803,YES
36169,YES
29700,NO
19484,NO
12759,YES
7484,NO
32496,NO
39626,NO
39746,NO
31005,YES
13648,NO
43352,NO
41670,NO
10760,NO
25950,NO
3489,YES
39161,YES
21119,YES
24245,YES
11610,NO
7432,NO
8201,YES
10448,NO
10653,YES
3185,YES
31537,YES
8708,NO
33894,NO
36783,YES
30475,YES
27424,NO
