FlightRecord,IsDepDelayed
24620,YES
25358,NO
7917,YES
10685,YES
26646,NO
35889,YES
7578,YES
8630,YES
4287,YES
20840,NO
38132,YES
42196,YES
8732,NO
1138,NO
11078,YES
42851,YES
10352,YES
5636,NO
19351,NO
38997,YES
36991,NO
24688,YES
19550,NO
36598,NO
3000,NO
5224,NO
20907,NO
42150,YES
29120,NO
1650,YES
36458,YES
6816,YES
12610,YES
38323,NO
36015,YES
14624,YES
2272,YES
25359,NO
11365,NO
40834,NO
39866,YES
1594,NO
25694,NO
32326,NO
15100,NO
9792,NO
5852,NO
3953,NO
17323,YES
31289,YES
10019,YES
20912,NO
23834,NO
15784,YES
38594,NO
38235,YES
19698,YES
8677,NO
5591,YES
4837,YES
3395,YES
33353,NO
5761,YES
16671,YES
23767,NO
1638,YES
23452,NO
42026,YES
31814,NO
22879,NO
16317,YES
19775,NO
15093,NO
17158,NO
37374,NO
12936,NO
29149,NO
36657,YES
31402,NO
28403,NO
16403,YES
10796,YES
35906,NO
18793,YES
6852,YES
16409,YES
10844,NO
26518,NO
7936,YES
18484,NO
43280,NO
8523,YES
38375,NO
22101,NO
13098,NO
27454,YES
32208,YES
22119,NO
15899,YES
36823,NO
37365,YES
34865,NO
32894,NO
19538,YES
9631,YES
21944,YES
36841,YES
7335,YES
36037,NO
41549,YES
30789,NO
32574,NO
35864,NO
38459,NO
36495,NO
13513,YES
9493,NO
8333,YES
14901,YES
3774,NO
30566,NO
42106,YES
15411,YES
30531,YES
12228,YES
243,YES
2399,YES
12457,YES
11946,YES
32678,NO
10263,YES
108,YES
18732,YES
8359,NO
7624,YES
18565,NO
19118,NO
19294,YES
10870,NO
24371,NO
27375,NO
3691,NO
21951,YES
37264,NO
40003,NO
31693,NO
39946,YES
10267,YES
14741,YES
40374,NO
36853,YES
5477,YES
25721,NO
27410,NO
32752,NO
13489,YES
19257,NO
20010,YES
24016,YES
41365,YES
5932,NO
4836,YES
13400,NO
29143,NO
1364,YES
27492,YES
2717,NO
6734,YES
26896,NO
16752,YES
43501,YES
35592,YES
30552,NO
26069,NO
34135,YES
33363,NO
4215,YES
18040,YES
6501,NO
6930,NO
41012,YES
22834,NO
36973,YES
7437,NO
7261,NO
17821,NO
31216,YES
38955,NO
5274,YES
19681,YES
14235,YES
32703,NO
32895,NO
24282,NO
29063,NO
16759,NO
39200,NO
20936,YES
36660,YES
8574,NO
11131,NO
37487,YES
18836,YES
21337,YES
25248,NO
28477,NO
43567,YES
26166,NO
6738,YES
30541,YES
7343,NO
1568,YES
9156,YES
13292,NO
37826,YES
37422,YES
28095,YES
29983,YES
10931,NO
10630,YES
38218,NO
13653,YES
24930,NO
5713,YES
30557,YES
13959,NO
1134,YES
35524,NO
20068,NO
16280,YES
8010,NO
307,NO
5892,YES
41940,YES
18271,NO
7721,NO
248,YES
36493,NO
34412,YES
27402,NO
29531,NO
16486,YES
22931,NO
35002,NO
25010,YES
26206,NO
5910,NO
27441,YES
16994,NO
26094,NO
30679,NO
29736,YES
3213,NO
28418,NO
6025,YES
81,YES
5577,YES
38194,NO
33449,YES
14382,YES
43690,YES
12633,YES
33248,NO
30937,YES
37017,NO
2032,YES
41495,YES
451,YES
17865,YES
13466,NO
8679,NO
39522,NO
34806,NO
5122,YES
20761,NO
16238,NO
13537,YES
37375,NO
17037,YES
7588,YES
7235,YES
23156,NO
26581,NO
2984,NO
9289,YES
3370,NO
41306,YES
4936,YES
39355,NO
38898,YES
42152,YES
25402,NO
42483,YES
35817,YES
30112,NO
18507,NO
23585,YES
3946,NO
36647,YES
30650,YES
5978,NO
30760,NO
34745,YES
35492,NO
23383,YES
6876,YES
11548,NO
28782,NO
10239,NO
791,YES
2724,YES
18100,YES
13278,YES
42963,YES
40654,YES
18413,YES
14807,YES
4110,YES
32130,NO
27087,NO
40226,YES
40243,YES
30550,NO
11029,NO
15025,NO
8915,NO
22836,NO
12974,YES
1293,YES
32111,NO
42707,YES
43832,YES
30441,NO
24572,NO
30632,NO
6581,YES
39978,YES
13535,YES
16060,YES
242,NO
7746,YES
8792,NO
14192,YES
41764,YES
3220,YES
16128,YES
1065,YES
30551,NO
41640,YES
5389,YES
31490,YES
27347,YES
26151,NO
20303,YES
23595,YES
7463,YES
17873,YES
38649,NO
40684,YES
40365,YES
20718,NO
40135,NO
7616,YES
13358,NO
7265,YES
39852,YES
37039,NO
13036,NO
22069,NO
9337,NO
37160,NO
13645,YES
21125,YES
816,YES
14380,YES
34255,NO
10432,YES
35687,NO
29184,NO
14872,YES
30062,YES
24450,YES
3287,YES
21290,NO
21499,YES
219,NO
2547,YES
37469,YES
24846,YES
17419,YES
18306,NO
36611,NO
33747,YES
30113,NO
18469,YES
21849,YES
34061,YES
32204,NO
32406,NO
20777,NO
34382,YES
6174,NO
35437,NO
41031,YES
22050,NO
27589,NO
19744,NO
3595,NO
18068,YES
21016,NO
26284,NO
38718,NO
11652,NO
1128,YES
40851,NO
28882,NO
2712,YES
10554,NO
40597,NO
382,YES
10742,YES
34378,NO
4350,NO
4971,NO
28967,YES
17082,YES
20317,YES
40208,NO
43808,YES
1181,NO
26223,NO
42920,YES
38965,NO
32506,NO
43563,YES
29351,NO
11403,NO
38998,YES
9,NO
31220,NO
23445,NO
5790,NO
34500,NO
1198,NO
29942,YES
27596,NO
12804,NO
36250,NO
18451,NO
34328,NO
9186,NO
39199,NO
2608,NO
5940,NO
11283,NO
30325,NO
9330,NO
3356,YES
10682,YES
918,YES
34896,NO
8405,NO
41357,YES
33638,NO
6897,NO
42967,YES
30050,NO
10973,YES
43384,NO
19044,NO
6948,YES
39653,NO
17055,YES
28807,YES
38166,NO
5222,NO
25892,NO
19401,YES
23209,NO
18794,YES
36133,YES
43448,YES
29802,YES
42276,NO
7053,NO
21490,YES
20330,YES
38609,YES
18849,YES
7094,YES
15285,NO
18594,NO
9855,NO
29648,YES
27403,YES
5724,YES
33273,NO
41435,YES
43753,YES
41360,YES
39509,NO
460,YES
21593,NO
38545,NO
35357,NO
5829,YES
26674,NO
36009,NO
28074,NO
11593,YES
31603,NO
35812,NO
19643,YES
9007,YES
11132,YES
14885,NO
16946,NO
40025,YES
22456,YES
26966,YES
13589,NO
11689,YES
28129,YES
2540,YES
25262,YES
30912,YES
29860,NO
34654,NO
33376,NO
20161,YES
42396,YES
19897,YES
13672,YES
38516,NO
32823,YES
29695,NO
13389,YES
23241,NO
34823,NO
2050,YES
29563,YES
43928,YES
12510,YES
5502,NO
4878,NO
36746,NO
14888,YES
26724,NO
31146,YES
21058,YES
1329,NO
7691,NO
31070,NO
20005,YES
42173,YES
24676,YES
23121,YES
32263,NO
11169,NO
23533,YES
28087,NO
31630,NO
22010,NO
37118,NO
42937,YES
20277,YES
16150,NO
19629,YES
738,NO
11107,YES
26699,NO
13628,NO
3791,NO
4014,NO
33224,NO
23496,YES
22826,YES
5050,YES
38931,YES
20868,NO
808,NO
16038,NO
36739,NO
6208,YES
9950,YES
6296,YES
13801,YES
16327,YES
5010,YES
2627,YES
9149,YES
28312,NO
34753,YES
13852,NO
9151,NO
26723,NO
4360,NO
30925,NO
17466,YES
29871,YES
10135,YES
5633,YES
39064,NO
6555,YES
29758,YES
18940,NO
42974,YES
7400,YES
5467,NO
18886,YES
15030,NO
23908,YES
33660,NO
42477,YES
26145,YES
33127,NO
23977,NO
4902,NO
43507,YES
29123,YES
15304,YES
21975,YES
23411,NO
24865,NO
12852,NO
7358,NO
20251,NO
23484,NO
31252,NO
16869,YES
37813,NO
43319,YES
24780,NO
15950,YES
31203,YES
237,NO
8944,NO
17844,NO
38509,NO
23561,NO
1127,NO
14456,YES
21522,YES
29396,NO
43744,NO
32644,NO
13805,NO
15063,NO
40801,NO
8303,YES
12854,YES
8045,NO
27192,NO
16255,YES
22484,NO
20744,NO
43581,YES
7480,YES
35327,NO
4187,YES
19739,YES
17320,YES
10788,NO
10228,YES
2478,YES
18749,NO
8965,NO
39337,NO
2851,YES
23055,NO
18650,NO
36520,NO
10235,YES
26147,YES
17416,NO
15125,YES
21624,NO
23175,NO
7562,NO
1738,YES
1728,YES
39410,NO
26939,NO
16798,YES
