FlightRecord,FlightDate,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
40108,2007-01-01,2021.0,2000,2212.0,2155,WN,149,N623SW,51.0,55.0,41.0,17.0,21.0,STL,SDF,254.0,3.0,7.0,0,,0,2.0,0.0,0.0,0.0,15.0,YES,YES
43494,2008-01-03,910.0,915,923.0,935,WN,453,N232WN,73.0,80.0,58.0,-12.0,-5.0,PHX,SNA,338.0,4.0,11.0,0,,0,,,,,,NO,NO
21603,1997-01-22,1422.0,1415,1614.0,1602,HP,2028,N311AW,112.0,107.0,93.0,12.0,7.0,DEN,PHX,602.0,7.0,12.0,0,,0,,,,,,YES,YES
18691,1996-01-27,1125.0,1100,1337.0,1315,WN,1488,N359,72.0,75.0,61.0,22.0,25.0,BUR,PHX,369.0,5.0,6.0,0,,0,,,,,,YES,YES
8022,1991-01-27,1703.0,1705,1931.0,1944,US,112,,148.0,159.0,,-13.0,-2.0,TPA,SYR,1104.0,,,0,,0,,,,,,NO,NO
19482,1996-01-24,1717.0,1712,1902.0,1857,UA,439,N7259U,105.0,105.0,85.0,5.0,5.0,DEN,PHX,602.0,4.0,16.0,0,,0,,,,,,YES,YES
14261,1994-01-25,1408.0,1410,1442.0,1454,US,233,,34.0,44.0,,-12.0,-2.0,CLT,FAY,118.0,,,0,,0,,,,,,NO,NO
18633,1996-01-27,1519.0,1510,1728.0,1725,WN,506,N305,69.0,75.0,54.0,3.0,9.0,BUR,PHX,369.0,3.0,12.0,0,,0,,,,,,YES,YES
20981,1997-01-08,1745.0,1745,2005.0,2000,WN,1014,N634,80.0,75.0,60.0,5.0,0.0,BUR,PHX,369.0,5.0,15.0,0,,0,,,,,,YES,NO
33277,2003-01-20,1245.0,1254,1432.0,1437,UA,1072,N929UA,107.0,103.0,89.0,-5.0,-9.0,BOI,DEN,649.0,9.0,9.0,0,,0,,,,,,NO,NO
9956,1991-01-01,853.0,855,959.0,1015,US,150,,66.0,80.0,,-16.0,-2.0,LGA,ORF,296.0,,,0,,0,,,,,,NO,NO
4798,1989-01-26,841.0,842,1020.0,1042,UA,205,,219.0,240.0,,-22.0,-1.0,IAH,SFO,1635.0,,,0,,0,,,,,,NO,NO
29043,2001-01-06,1416.0,1400,1517.0,1457,US,419,-N918å,61.0,57.0,37.0,20.0,16.0,PIT,AVP,243.0,3.0,21.0,0,,0,,,,,,YES,YES
22279,1998-01-27,1514.0,1514,1731.0,1730,HP,2402,N174AW,77.0,76.0,66.0,1.0,0.0,BUR,PHX,369.0,3.0,8.0,0,,0,,,,,,YES,NO
33631,2003-01-08,719.0,725,902.0,912,UA,1080,N423UA,103.0,107.0,87.0,-10.0,-6.0,TUS,DEN,639.0,7.0,9.0,0,,0,,,,,,NO,NO
37444,2005-01-18,1449.0,1453,1653.0,1643,UA,591,N534UA,184.0,170.0,163.0,10.0,-4.0,DEN,SEA,1024.0,5.0,16.0,0,,0,0.0,0.0,0.0,0.0,0.0,YES,NO
25194,1999-01-14,1618.0,1600,1856.0,1827,US,738,N821US,158.0,147.0,124.0,29.0,18.0,TPA,PHL,920.0,20.0,14.0,0,,0,,,,,,YES,YES
1049,1987-10-29,701.0,700,835.0,812,PS,1504,,94.0,72.0,,23.0,1.0,SFO,LAX,337.0,,,0,,0,,,,,,YES,YES
20681,1997-01-16,1532.0,1520,1824.0,1805,WN,1364,N399,232.0,225.0,221.0,19.0,12.0,BNA,PHX,1448.0,3.0,8.0,0,,0,,,,,,YES,YES
42722,2008-01-03,1155.0,1150,1426.0,1435,WN,1488,N461WN,91.0,105.0,79.0,-9.0,5.0,MDW,IAD,577.0,6.0,6.0,0,,0,,,,,,NO,YES
24783,1999-01-24,1652.0,1645,2238.0,2244,DL,1950,N283WA,226.0,239.0,198.0,-6.0,7.0,SLC,PHL,1926.0,6.0,22.0,0,,0,,,,,,NO,YES
41249,2007-01-02,1105.0,1105,1210.0,1215,WN,340,N200WN,65.0,70.0,51.0,-5.0,0.0,ISP,BWI,220.0,5.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
40146,2007-01-01,1018.0,1015,1211.0,1220,WN,3026,N737,113.0,125.0,98.0,-9.0,3.0,TPA,IAD,810.0,5.0,10.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,YES
2706,1988-01-19,906.0,907,952.0,957,PI,961,,46.0,50.0,,-5.0,-1.0,BWI,RIC,121.0,,,0,,0,,,,,,NO,NO
22349,1998-01-16,1240.0,1242,1514.0,1500,HP,2545,N165AW,94.0,78.0,71.0,14.0,-2.0,BUR,PHX,369.0,8.0,15.0,0,,0,,,,,,YES,NO
26698,2000-01-15,1108.0,1055,1321.0,1310,WN,128,N528,73.0,75.0,61.0,11.0,13.0,BUR,PHX,369.0,2.0,10.0,0,,0,,,,,,YES,YES
