ID,Case_Number,Date_Time,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,Latitude,Longitude
9923063,HY133182,01/29/2015 04:53:14 PM,029XX E 87TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,423,4.0,10,46,18,41.737248771,-87.553057244
9927630,HY138122,01/29/2015 09:13:39 PM,044XX S PULASKI RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,NO,NO,821,8.0,14,57,11,41.812384669,-87.723609479
9920228,HY130226,01/26/2015 10:30:42 AM,013XX W BELMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),NO,NO,1933,19.0,32,6,14,41.939676482,-87.662542697
9932413,HY142247,02/06/2015 05:40:54 PM,020XX N LAWLER AVE,0560,ASSAULT,SIMPLE,APARTMENT,NO,NO,2522,25.0,31,19,08A,41.917645305,-87.752031914
9917884,HY128631,01/25/2015 08:30:38 PM,021XX N MAJOR AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,NO,NO,2515,25.0,29,19,26,41.918515715,-87.76806968
9932180,HY141988,02/06/2015 03:02:25 PM,018XX S CARPENTER ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,NO,NO,1235,12.0,25,31,26,41.857251342,-87.653335798
9941048,HY151489,02/05/2015 09:00:10 PM,047XX S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,NO,821,8.0,14,57,08B,41.807262259,-87.721248221
9933733,HY144287,02/08/2015 12:24:35 PM,122XX S ELIZABETH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENCE,YES,NO,524,5.0,34,53,18,41.67110509,-87.652798567
9921212,HY131262,01/27/2015 11:40:14 PM,065XX S PARNELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,NO,NO,722,7.0,20,68,26,41.775817864,-87.638677951
9930773,HY140686,02/05/2015 12:30:53 PM,034XX W FULTON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,YES,NO,1123,11.0,28,27,18,41.886458645,-87.711480637
9920280,HY129011,01/26/2015 09:50:18 AM,114XX S LAFLIN ST,031A,ROBBERY,ARMED: HANDGUN,STREET,NO,NO,2234,22.0,34,75,03,41.686314811,-87.659887181
9929595,HY139931,02/04/2015 08:10:23 PM,003XX S CICERO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,YES,NO,1533,15.0,24,25,18,41.876716289,-87.745290492
9917938,HY128710,01/25/2015 11:21:25 PM,077XX S STEWART AVE,0460,BATTERY,SIMPLE,APARTMENT,NO,NO,623,6.0,17,69,08B,41.754264704,-87.63424498
9932738,HY142846,02/07/2015 09:15:31 AM,043XX S LAKE PARK AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,GROCERY FOOD STORE,NO,NO,222,2.0,4,39,04A,41.816774084,-87.598627104
9925754,HY135827,01/31/2015 09:30:13 PM,006XX S CENTRAL AVE,0460,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,NO,NO,1522,15.0,29,25,08B,41.871900468,-87.7644271
9925942,HY136102,02/01/2015 07:21:44 AM,103XX S DOTY AVE E,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,NO,NO,434,4.0,10,51,11,41.707825774,-87.58085445
9928061,HY137504,02/01/2015 05:45:54 PM,017XX S STATE ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,POLICE FACILITY/VEH PARKING LOT,NO,NO,131,1.0,3,33,26,41.858376151,-87.627356324
9917806,HY128584,01/25/2015 07:47:33 PM,058XX S LAFAYETTE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,YES,NO,232,2.0,20,40,18,41.787935328,-87.626761984
9917932,HY128694,01/25/2015 06:30:52 AM,063XX N HERMITAGE AVE,0460,BATTERY,SIMPLE,STREET,NO,NO,2433,24.0,40,77,08B,41.9978576,-87.673652849
9919461,HY129881,01/26/2015 08:45:59 PM,009XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,NO,1232,12.0,25,28,08B,41.870206076,-87.655507903
9921935,HY132137,01/28/2015 07:30:36 AM,077XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),NO,NO,414,4.0,7,43,14,41.754148206,-87.568571313
9933709,HY143981,02/08/2015 07:15:30 AM,047XX W GLADYS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,NO,NO,1131,11.0,24,25,14,41.875832442,-87.743646261
9930894,HY140959,02/05/2015 01:10:39 PM,0000X E 71ST ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,YES,NO,322,3.0,6,69,26,41.76567432,-87.622424347
9926147,HY136479,02/01/2015 01:50:38 PM,031XX N LAKE SHORE DR,0460,BATTERY,SIMPLE,DRIVEWAY - RESIDENTIAL,NO,NO,1934,19.0,44,6,08B,41.939720888,-87.638629376
9921216,HY131275,01/28/2015 01:24:22 AM,044XX W MONROE ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,YES,NO,1113,11.0,28,26,18,41.879516787,-87.737039397
9929651,HY139957,02/04/2015 08:30:26 PM,074XX S PRAIRIE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,YES,NO,323,3.0,6,69,18,41.75908544,-87.618472708
9921529,HY131351,01/28/2015 07:30:22 AM,019XX S ST LOUIS AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,YES,YES,1024,10.0,24,29,04B,41.854038346,-87.712550925
9932794,HY142855,02/06/2015 10:00:18 AM,058XX W LAKE ST,0820,THEFT,$500 AND UNDER,SIDEWALK,NO,NO,1512,15.0,29,25,06,41.887985088,-87.770109076
9920639,HY130545,01/27/2015 01:50:14 PM,096XX S HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,NO,YES,2223,22.0,21,73,08B,41.718800734,-87.642995516
9925464,HY135599,01/31/2015 05:15:43 PM,042XX W AUGUSTA BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,YES,1111,11.0,37,23,08B,41.899038961,-87.73170434
9932955,HY143171,02/07/2015 01:26:32 PM,001XX E 37TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,212,2.0,3,35,18,41.827297218,-87.621988818
9916156,HY126166,01/23/2015 06:15:33 PM,048XX N BROADWAY,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,NO,NO,2033,20.0,48,3,06,41.971244996,-87.659582291
9934222,HY144914,02/08/2015 12:00:29 PM,018XX N SHEFFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,NO,NO,1811,18.0,32,7,07,41.915709742,-87.653432045
9930795,HY140817,02/05/2015 03:49:26 PM,057XX S PAULINA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,715,7.0,15,67,18,41.789927981,-87.666761056
9927059,HY137742,02/02/2015 10:30:44 PM,035XX W ROOSEVELT RD,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,NO,YES,1021,10.0,24,29,26,41.866186149,-87.714904203
9925090,HY134963,01/31/2015 06:50:33 AM,030XX E 79TH ST,0560,ASSAULT,SIMPLE,STREET,NO,NO,421,4.0,7,46,08A,41.752047458,-87.550844094
9933275,HY143694,02/07/2015 09:40:13 PM,092XX S MAY ST,0560,ASSAULT,SIMPLE,RESIDENCE,NO,YES,2222,22.0,21,73,08A,41.725385841,-87.651980618
9932152,HY141954,02/06/2015 07:30:22 AM,098XX S FOREST AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,NO,NO,511,5.0,6,49,05,41.715447173,-87.616550093
9915589,HY125558,01/23/2015 10:54:49 AM,020XX W 68TH ST,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE,YES,NO,726,7.0,17,67,26,41.770139319,-87.674447883
9920743,HY130628,01/27/2015 02:10:42 PM,034XX W FRANKLIN BLVD,0560,ASSAULT,SIMPLE,ALLEY,YES,NO,1121,11.0,27,23,08A,41.890106101,-87.71306858
9933374,HY143773,02/07/2015 11:35:35 PM,004XX N CENTRAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,1512,15.0,29,25,14,41.887881667,-87.765269572
9924852,HY134646,01/30/2015 09:05:57 PM,001XX S CICERO AVE,0460,BATTERY,SIMPLE,GAS STATION,NO,NO,1113,11.0,28,25,08B,41.878542784,-87.745060771
9916777,HY127168,01/24/2015 01:25:24 PM,029XX S FEDERAL ST,0890,THEFT,FROM BUILDING,APARTMENT,NO,NO,133,1.0,3,35,06,41.84072661,-87.6289449
9927683,HY138034,01/30/2015 08:30:46 PM,032XX S NORMAL AVE,0810,THEFT,OVER $500,BAR OR TAVERN,NO,NO,915,9.0,11,60,06,41.836133977,-87.63906824
9932100,HY141757,02/06/2015 12:40:55 PM,004XX E 34TH ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,YES,NO,211,2.0,4,35,06,41.833042088,-87.614674487
9937310,HY146623,02/07/2015 03:10:53 PM,098XX S FOREST AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,NO,NO,511,5.0,6,49,14,41.715647541,-87.616555192
9929530,HY139619,02/04/2015 04:00:12 PM,004XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,LIBRARY,YES,NO,113,1.0,2,32,18,41.876798252,-87.62779619
9929777,HY140133,02/04/2015 07:10:16 PM,0000X W 95TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,NO,NO,634,6.0,21,49,03,41.721734632,-87.624549931
9917561,HY128187,01/25/2015 01:35:34 PM,029XX W LEXINGTON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),YES,YES,1135,11.0,2,27,14,41.871825881,-87.699355606
9935264,HY145483,02/08/2015 10:00:57 PM,049XX W VAN BUREN ST,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1533,15.0,24,25,06,41.874832089,-87.747654041
9925093,HY134962,01/31/2015 06:30:47 AM,043XX S EVANS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE PORCH/HALLWAY,NO,YES,221,2.0,4,38,07,41.815434517,-87.608070172
9931491,HY141475,02/05/2015 06:00:16 PM,072XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,NO,NO,323,3.0,6,69,14,41.762316636,-87.613822153
9917211,HY127755,01/25/2015 12:15:46 AM,020XX N LARAMIE AVE,2022,NARCOTICS,POSS: COCAINE,STREET,YES,NO,2515,25.0,37,19,18,41.917720761,-87.756109651
9929686,HY140014,02/04/2015 09:29:27 PM,080XX S JUSTINE ST,0560,ASSAULT,SIMPLE,RESIDENCE,NO,NO,612,6.0,21,71,08A,41.747112839,-87.662286373
9924565,HY134271,01/30/2015 02:08:22 AM,020XX W 80TH PL,0810,THEFT,OVER $500,STREET,NO,NO,611,6.0,18,71,06,41.747605579,-87.674879894
9930833,HY140880,02/04/2015 08:00:33 PM,012XX N CLYBOURN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,NO,NO,1821,18.0,27,8,14,41.904647589,-87.641004439
9927959,HY138298,02/03/2015 01:20:27 PM,005XX N RUSH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,HOTEL/MOTEL,NO,NO,1834,18.0,42,8,11,41.891631505,-87.625223653
9926845,HY137473,02/02/2015 12:00:39 PM,031XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),NO,NO,912,9.0,11,59,06,41.836447514,-87.665566649
9937289,HY147076,01/31/2015 03:00:15 PM,006XX W GRAND AVE,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1214,12.0,42,24,06,41.891144671,-87.643071105
9930866,HY140818,01/27/2015 04:00:37 PM,098XX S ABERDEEN ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,NO,NO,2223,22.0,21,73,11,41.715700606,-87.650504292
9922288,HY131617,01/27/2015 03:00:20 PM,076XX S MORGAN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,NO,YES,621,6.0,17,71,26,41.7546463,-87.648852905
9926614,HY436773,02/02/2015 02:08:15 AM,015XX W JONQUIL TER,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,NO,NO,2422,,49,1,05,,
9932984,HY143199,02/07/2015 02:30:20 AM,022XX N KNOX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,2522,25.0,31,19,14,41.921771838,-87.742734758
9916028,HY126256,01/23/2015 06:30:53 PM,001XX N LA CROSSE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,YES,NO,1532,15.0,28,25,18,41.884129152,-87.746489477
9927824,HY138173,02/03/2015 07:30:37 AM,064XX N MAGNOLIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,NO,NO,2432,24.0,40,1,14,41.998681993,-87.662015329
9931806,HY141642,02/04/2015 02:00:23 PM,030XX S DR MARTIN LUTHER KING JR DR,2820,OTHER OFFENSE,TELEPHONE THREAT,"SCHOOL, PUBLIC, BUILDING",NO,NO,133,1.0,2,35,26,41.840094342,-87.617670874
9917238,HY127782,01/25/2015 01:46:29 AM,052XX W OHIO ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,YES,NO,1524,15.0,28,25,18,41.891300112,-87.756285146
9928348,HY138930,02/03/2015 11:00:32 PM,061XX N WINCHESTER AVE,0820,THEFT,$500 AND UNDER,STREET,NO,NO,2413,24.0,40,2,06,41.992773671,-87.678630944
9932669,HY142649,02/07/2015 01:45:40 AM,004XX S KOSTNER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,NO,NO,1131,11.0,24,26,14,41.874623532,-87.735406878
9917541,HY128174,01/25/2015 10:00:23 AM,011XX W JACKSON BLVD,0810,THEFT,OVER $500,STREET,NO,NO,1232,12.0,2,28,06,41.877694695,-87.656365121
9917405,HY127993,01/24/2015 05:30:20 PM,025XX W FOSTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,2011,20.0,40,4,14,41.975971227,-87.693278081
9925322,HY135342,01/31/2015 01:15:39 PM,090XX S COMMERCIAL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,YES,NO,424,4.0,10,46,18,41.731670326,-87.551146409
9921568,HY131577,01/27/2015 04:00:52 PM,060XX W NORTH AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,NO,NO,2513,25.0,29,25,06,41.909362509,-87.775685352
9920759,HY130513,01/27/2015 12:30:40 PM,063XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,APARTMENT,NO,YES,312,3.0,20,69,06,41.778972797,-87.615744123
9927632,HY138134,02/02/2015 07:00:57 PM,058XX W GUNNISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,1622,16.0,45,15,14,41.968484433,-87.774633149
9936624,HY146702,02/03/2015 11:32:23 PM,0000X W CHICAGO AVE,0870,THEFT,POCKET-PICKING,CTA TRAIN,NO,NO,1832,18.0,42,8,06,41.896781597,-87.628656153
9929608,HY139278,02/04/2015 10:30:12 AM,019XX E 79TH ST,0810,THEFT,OVER $500,SMALL RETAIL STORE,NO,NO,414,4.0,8,43,06,41.751694853,-87.577703683
9932988,HY143164,02/07/2015 02:00:48 PM,052XX S PEORIA ST,0560,ASSAULT,SIMPLE,STREET,YES,NO,934,9.0,3,61,08A,41.799052264,-87.647566384
9929363,HY139200,02/04/2015 10:25:25 AM,056XX S ELIZABETH ST,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE,NO,NO,713,7.0,16,67,26,41.790788007,-87.656150885
9925176,HY135120,01/31/2015 12:00:34 AM,055XX S LA SALLE ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,NO,NO,225,2.0,3,68,06,41.794066043,-87.629441364
9933453,HY143901,02/07/2015 11:55:56 PM,056XX W GRAND AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,NO,NO,2515,25.0,29,19,26,41.919069775,-87.766900027
9920209,HY130088,01/25/2015 01:30:23 AM,080XX S MARYLAND AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,NO,NO,631,6.0,8,44,26,41.748078688,-87.60373141
9923455,HY132963,01/27/2015 09:00:22 PM,010XX W HURON ST,0810,THEFT,OVER $500,STREET,NO,NO,1214,12.0,27,24,06,41.894287283,-87.652803513
9927884,HY138240,02/03/2015 01:45:17 PM,006XX E 69TH ST,0560,ASSAULT,SIMPLE,STREET,NO,YES,321,3.0,6,42,08A,41.769348874,-87.608362238
9924779,HY134570,01/30/2015 07:20:31 PM,011XX S FRANCISCO AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,YES,NO,1135,11.0,28,29,24,41.867079144,-87.698510369
9923262,HY133240,01/29/2015 02:00:13 PM,004XX N HERMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,NO,NO,1215,12.0,27,24,07,41.889196523,-87.670599932
9922178,HY132359,01/28/2015 10:14:14 PM,006XX N WELLS ST,0460,BATTERY,SIMPLE,RESTAURANT,YES,NO,1831,18.0,42,8,08B,41.894132124,-87.634282764
9926683,HY137096,02/02/2015 01:00:16 PM,037XX W HAYFORD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,NO,YES,833,8.0,18,70,08B,41.755872889,-87.715663836
9925151,HY135072,01/30/2015 10:00:30 PM,029XX S CANAL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,NO,NO,914,9.0,11,60,07,41.840263818,-87.637662101
9929675,HY139833,02/04/2015 05:41:24 PM,002XX S LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,1533,15.0,28,25,18,41.877478155,-87.75481221
9924865,HY134655,01/30/2015 09:30:34 PM,025XX W FLOURNOY ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,NO,NO,1135,11.0,2,28,03,41.873059653,-87.689286656
9921245,HY131312,01/28/2015 05:00:30 AM,096XX S HALSTED ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,NO,YES,2223,22.0,21,73,26,41.718800734,-87.642995516
9923347,HY133533,01/29/2015 10:30:11 PM,033XX N SOUTHPORT AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,BAR OR TAVERN,NO,NO,1922,19.0,44,6,24,41.943324184,-87.664062967
9933894,HY144493,02/08/2015 04:43:52 PM,014XX S SPRINGFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,YES,NO,1011,10.0,24,29,15,41.861006901,-87.722439284
9919362,HY129639,01/26/2015 04:30:15 PM,011XX N LAMON AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),NO,NO,1531,15.0,37,25,06,41.901315853,-87.748543467
9933759,HY144306,02/08/2015 12:01:13 AM,003XX W 24TH PL,0820,THEFT,$500 AND UNDER,STREET,NO,NO,914,9.0,25,34,06,41.848087304,-87.63578626
9921013,HY130915,01/27/2015 06:00:27 PM,013XX N PAULINA ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,NO,NO,1433,14.0,1,24,06,41.906253181,-87.669861494
