date,maxTemp,meanTemp,minTemp
5/6/13,71.0,61.0,50.0
12/14/07,28.0,23.0,18.0
10/26/14,64.0,53.0,42.0
1/18/01,30.0,24.0,19.0
11/2/04,48.0,47.0,45.0
12/31/03,42.0,34.0,25.0
11/20/03,64.0,50.0,35.0
3/23/01,50.0,42.0,33.0
3/25/04,62.0,60.0,57.0
12/18/01,46.0,37.0,28.0
4/6/05,80.0,64.0,50.0
4/7/07,32.0,27.0,22.0
5/24/05,67.0,57.0,47.0
9/18/12,63.0,55.0,47.0
2/12/13,29.0,25.0,21.0
7/3/07,83.0,72.0,60.0
11/23/08,45.0,33.0,20.0
6/26/04,75.0,64.0,54.0
1/13/13,30.0,26.0,22.0
7/15/14,70.0,63.0,55.0
10/2/04,57.0,48.0,39.0
11/16/09,48.0,46.0,44.0
12/17/01,45.0,40.0,33.0
9/27/02,66.0,60.0,53.0
12/5/10,26.0,19.0,12.0
2/4/13,28.0,21.0,13.0
12/14/01,37.0,34.0,30.0
12/21/14,36.0,34.0,31.0
1/6/06,31.0,30.0,28.0
12/5/08,23.0,15.0,7.0
12/3/03,39.0,34.0,30.0
9/13/01,68.0,62.0,57.0
4/3/02,39.0,34.0,30.0
7/16/01,86.0,74.0,64.0
11/29/08,44.0,32.0,20.0
3/9/09,44.0,39.0,33.0
4/29/02,61.0,50.0,39.0
6/25/10,84.0,73.0,62.0
3/5/03,24.0,22.0,19.0
1/1/04,48.0,34.0,21.0
5/20/12,93.0,79.0,65.0
6/2/02,71.0,62.0,53.0
10/22/03,55.0,48.0,41.0
11/14/09,63.0,53.0,43.0
12/21/02,34.0,31.0,28.0
3/24/13,37.0,35.0,32.0
1/14/04,35.0,27.0,18.0
7/20/07,75.0,67.0,58.0
8/4/09,85.0,76.0,67.0
5/30/12,70.0,62.0,53.0
5/16/11,52.0,45.0,37.0
6/21/06,87.0,78.0,70.0
5/7/10,59.0,52.0,45.0
5/29/09,74.0,62.0,50.0
5/25/09,67.0,61.0,54.0
1/28/13,48.0,43.0,37.0
6/26/05,93.0,82.0,70.0
11/14/06,44.0,40.0,36.0
12/3/07,29.0,24.0,19.0
10/25/04,75.0,57.0,39.0
12/19/12,43.0,38.0,32.0
9/26/08,,,
3/1/12,40.0,38.0,35.0
4/16/05,73.0,55.0,37.0
7/5/05,87.0,75.0,63.0
7/22/10,90.0,80.0,69.0
3/29/11,42.0,33.0,24.0
5/22/06,61.0,49.0,37.0
11/20/10,43.0,37.0,30.0
10/3/03,53.0,47.0,41.0
9/10/09,81.0,73.0,64.0
2/19/03,41.0,32.0,24.0
2/25/03,17.0,8.0,0.0
3/25/08,58.0,47.0,35.0
8/25/10,79.0,70.0,61.0
8/24/04,81.0,72.0,66.0
6/9/11,69.0,60.0,50.0
7/17/04,75.0,70.0,64.0
8/21/05,82.0,74.0,65.0
8/23/09,74.0,65.0,56.0
6/9/01,81.0,65.0,50.0
11/29/04,37.0,35.0,33.0
4/18/13,63.0,51.0,39.0
6/3/08,69.0,62.0,55.0
2/29/12,59.0,47.0,35.0
3/30/02,50.0,43.0,36.0
10/23/01,64.0,60.0,57.0
1/8/08,56.0,47.0,37.0
9/20/08,82.0,69.0,56.0
11/23/14,52.0,50.0,48.0
10/15/06,52.0,42.0,31.0
7/31/02,93.0,82.0,71.0
10/29/05,61.0,45.0,28.0
1/7/04,23.0,15.0,7.0
4/19/09,61.0,53.0,45.0
11/28/06,61.0,58.0,54.0
6/10/13,76.0,68.0,60.0
3/28/06,44.0,42.0,39.0
4/11/12,54.0,43.0,32.0
12/19/04,14.0,8.0,3.0
