Id,Species
72,Iris-setosa
78,Iris-setosa
139,Iris-versicolor
135,Iris-setosa
27,Iris-setosa
6,Iris-setosa
118,Iris-versicolor
57,Iris-setosa
103,Iris-versicolor
18,Iris-setosa
3,Iris-setosa
9,Iris-setosa
34,Iris-versicolor
83,Iris-virginica
59,Iris-virginica
137,Iris-virginica
22,Iris-versicolor
146,Iris-virginica
29,Iris-virginica
148,Iris-versicolor
64,Iris-versicolor
20,Iris-virginica
105,Iris-setosa
144,Iris-setosa
36,Iris-setosa
77,Iris-virginica
52,Iris-versicolor
132,Iris-setosa
133,Iris-versicolor
51,Iris-setosa
53,Iris-virginica
117,Iris-setosa
128,Iris-virginica
39,Iris-setosa
150,Iris-setosa
88,Iris-versicolor
16,Iris-versicolor
21,Iris-setosa
49,Iris-versicolor
92,Iris-virginica
69,Iris-setosa
100,Iris-versicolor
84,Iris-setosa
76,Iris-versicolor
107,Iris-virginica
140,Iris-virginica
68,Iris-virginica
12,Iris-setosa
126,Iris-setosa
122,Iris-virginica
