Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
47,5.1,3.8,1.6,0.2,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
79,6.0,2.9,4.5,1.5,Iris-versicolor
44,5.0,3.5,1.6,0.6,Iris-setosa
89,5.6,3.0,4.1,1.3,Iris-versicolor
28,5.2,3.5,1.5,0.2,Iris-setosa
127,6.2,2.8,4.8,1.8,Iris-virginica
91,5.5,2.6,4.4,1.2,Iris-versicolor
149,6.2,3.4,5.4,2.3,Iris-virginica
74,6.1,2.8,4.7,1.2,Iris-versicolor
67,5.6,3.0,4.5,1.5,Iris-versicolor
56,5.7,2.8,4.5,1.3,Iris-versicolor
48,4.6,3.2,1.4,0.2,Iris-setosa
145,6.7,3.3,5.7,2.5,Iris-virginica
138,6.4,3.1,5.5,1.8,Iris-virginica
106,7.6,3.0,6.6,2.1,Iris-virginica
141,6.7,3.1,5.6,2.4,Iris-virginica
70,5.6,2.5,3.9,1.1,Iris-versicolor
30,4.7,3.2,1.6,0.2,Iris-setosa
143,5.8,2.7,5.1,1.9,Iris-virginica
90,5.5,2.5,4.0,1.3,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
101,6.3,3.3,6.0,2.5,Iris-virginica
13,4.8,3.0,1.4,0.1,Iris-setosa
26,5.0,3.0,1.6,0.2,Iris-setosa
115,5.8,2.8,5.1,2.4,Iris-virginica
4,4.6,3.1,1.5,0.2,Iris-setosa
104,6.3,2.9,5.6,1.8,Iris-virginica
82,5.5,2.4,3.7,1.0,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
15,5.8,4.0,1.2,0.2,Iris-setosa
120,6.0,2.2,5.0,1.5,Iris-virginica
96,5.7,3.0,4.2,1.2,Iris-versicolor
124,6.3,2.7,4.9,1.8,Iris-virginica
93,5.8,2.6,4.0,1.2,Iris-versicolor
136,7.7,3.0,6.1,2.3,Iris-virginica
97,5.7,2.9,4.2,1.3,Iris-versicolor
85,5.4,3.0,4.5,1.5,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
33,5.2,4.1,1.5,0.1,Iris-setosa
130,7.2,3.0,5.8,1.6,Iris-virginica
42,4.5,2.3,1.3,0.3,Iris-setosa
123,7.7,2.8,6.7,2.0,Iris-virginica
19,5.7,3.8,1.7,0.3,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
54,5.5,2.3,4.0,1.3,Iris-versicolor
14,4.3,3.0,1.1,0.1,Iris-setosa
134,6.3,2.8,5.1,1.5,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
58,4.9,2.4,3.3,1.0,Iris-versicolor
109,6.7,2.5,5.8,1.8,Iris-virginica
25,4.8,3.4,1.9,0.2,Iris-setosa
98,6.2,2.9,4.3,1.3,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
23,4.6,3.6,1.0,0.2,Iris-setosa
1,5.1,3.5,1.4,0.2,Iris-setosa
114,5.7,2.5,5.0,2.0,Iris-virginica
41,5.0,3.5,1.3,0.3,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
116,6.4,3.2,5.3,2.3,Iris-virginica
31,4.8,3.1,1.6,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
80,5.7,2.6,3.5,1.0,Iris-versicolor
94,5.0,2.3,3.3,1.0,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa
45,5.1,3.8,1.9,0.4,Iris-setosa
55,6.5,2.8,4.6,1.5,Iris-versicolor
121,6.9,3.2,5.7,2.3,Iris-virginica
62,5.9,3.0,4.2,1.5,Iris-versicolor
24,5.1,3.3,1.7,0.5,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
131,7.4,2.8,6.1,1.9,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
75,6.4,2.9,4.3,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
7,4.6,3.4,1.4,0.3,Iris-setosa
99,5.1,2.5,3.0,1.1,Iris-versicolor
40,5.1,3.4,1.5,0.2,Iris-setosa
73,6.3,2.5,4.9,1.5,Iris-versicolor
2,4.9,3.0,1.4,0.2,Iris-setosa
108,7.3,2.9,6.3,1.8,Iris-virginica
95,5.6,2.7,4.2,1.3,Iris-versicolor
125,6.7,3.3,5.7,2.1,Iris-virginica
87,6.7,3.1,4.7,1.5,Iris-versicolor
46,4.8,3.0,1.4,0.3,Iris-setosa
112,6.4,2.7,5.3,1.9,Iris-virginica
32,5.4,3.4,1.5,0.4,Iris-setosa
63,6.0,2.2,4.0,1.0,Iris-versicolor
8,5.0,3.4,1.5,0.2,Iris-setosa
61,5.0,2.0,3.5,1.0,Iris-versicolor
111,6.5,3.2,5.1,2.0,Iris-virginica
