person,survived
779,yes
871,yes
657,yes
1257,yes
1002,no
979,yes
16,no
774,no
254,no
950,no
882,no
393,yes
229,yes
752,no
799,yes
484,no
580,no
511,yes
123,yes
475,yes
277,yes
884,no
296,no
303,yes
1085,yes
1118,no
594,no
806,no
797,yes
837,yes
577,yes
1250,no
534,no
476,no
494,no
517,yes
734,no
546,no
157,yes
770,no
0,no
411,yes
189,yes
378,no
429,yes
1194,no
30,no
663,yes
876,no
1021,yes
1181,yes
586,no
69,yes
1088,no
578,no
1079,yes
873,yes
218,no
434,no
1290,no
232,no
143,yes
86,no
448,no
787,yes
872,no
285,yes
805,yes
1035,yes
1108,no
289,yes
998,no
23,yes
421,yes
956,no
581,yes
843,yes
905,yes
204,no
1214,no
270,no
889,yes
267,yes
367,yes
616,no
1191,yes
569,yes
626,no
897,yes
664,no
216,no
651,yes
98,no
349,yes
364,no
1251,yes
995,yes
949,yes
1059,yes
764,no
849,yes
388,no
422,no
427,yes
124,no
1197,yes
455,yes
1008,no
999,yes
274,no
461,yes
66,no
1173,yes
235,yes
1131,yes
1090,no
1201,yes
1212,no
1252,no
942,no
1145,yes
919,yes
1026,no
1047,yes
1297,yes
1189,yes
85,yes
90,no
1162,no
652,no
600,no
1187,yes
1248,no
776,no
178,no
987,yes
342,no
679,yes
771,yes
1055,yes
1051,yes
330,no
1287,yes
885,yes
836,no
356,no
584,no
156,no
563,yes
564,no
187,yes
307,yes
6,no
623,yes
309,yes
728,no
1270,no
417,yes
933,yes
741,yes
259,yes
94,no
1139,yes
856,no
677,yes
627,yes
361,yes
195,yes
504,no
1096,no
864,no
1164,no
284,no
841,yes
809,yes
413,yes
890,no
252,no
1050,no
394,no
906,no
755,yes
211,yes
129,yes
14,no
287,yes
1071,yes
1005,yes
788,no
319,yes
1288,no
1089,yes
765,yes
72,no
842,no
99,yes
515,yes
865,yes
792,no
310,no
840,no
1292,no
1129,yes
637,yes
1282,no
175,yes
1152,no
106,no
608,no
1166,no
109,yes
339,yes
1170,no
1154,no
1001,yes
607,yes
302,no
775,yes
1084,no
1087,yes
147,yes
244,no
338,no
1176,no
401,yes
12,no
628,no
225,yes
1157,yes
82,no
458,no
520,no
1132,no
10,no
1185,yes
60,no
22,no
54,no
1069,yes
441,yes
674,no
791,yes
1068,no
835,yes
62,no
571,yes
750,no
1040,no
844,no
528,no
650,no
716,no
52,no
596,no
686,no
868,no
553,yes
250,no
51,yes
1081,yes
443,yes
975,yes
1061,yes
439,yes
896,no
966,no
453,yes
459,yes
1301,yes
53,yes
861,yes
1215,yes
446,no
667,yes
1178,no
344,no
386,no
221,yes
510,no
1052,no
64,no
801,yes
568,no
1238,no
466,no
76,no
606,no
862,no
74,no
587,yes
294,no
1130,no
509,yes
1018,no
1066,no
505,yes
757,yes
27,yes
478,no
321,yes
145,yes
40,no
332,no
357,yes
134,no
1032,no
228,no
200,no
522,no
155,yes
265,yes
973,yes
1072,no
867,yes
572,no
1082,no
858,no
144,no
1303,yes
1306,no
428,no
609,yes
1236,no
880,no
206,no
241,yes
163,yes
158,no
488,no
714,no
194,no
946,no
915,yes
1119,yes
222,no
744,no
1243,yes
1123,yes
1142,no
152,no
240,no
751,yes
151,yes
961,yes
649,yes
1,yes
150,no
645,yes
1095,yes
1161,yes
595,yes
224,no
201,yes
659,yes
970,no
548,no
8,no
1148,no
795,yes
1204,no
1172,no
638,no
778,no
895,yes
468,no
784,no
42,no
929,yes
1044,no
1006,no
777,yes
826,no
402,no
116,no
467,yes
967,yes
1092,no
693,yes
702,no
1074,no
298,no
236,no
251,yes
273,yes
59,yes
704,no
678,no
1135,yes
547,yes
833,yes
740,no
291,yes
255,yes
88,no
848,no
723,yes
866,no
697,yes
655,yes
316,no
820,no
831,yes
438,no
105,yes
530,no
1049,yes
1224,no
687,yes
1048,no
737,yes
874,no
1112,no
282,no
239,yes
854,no
747,yes
886,no
490,no
92,no
566,no
456,no
681,yes
796,no
1304,no
523,yes
605,yes
1023,yes
1295,yes
907,yes
1276,no
1075,yes
1025,yes
597,yes
391,yes
266,no
1231,yes
1263,yes
