animal_name,class_type
aracari-banana,1
tamandua-bandeira,4
urubu-rei,3
jiboia,7
orangotango,5
vespa,6
baiacu,7
cascudinho-de-caverna,1
tucano-de-bico-preto,7
caracol-da-mata-atlantica,5
caranguejeira,7
gaviao-pombo,6
sucuri,7
pirilampo,3
cachorro-vinagre,3
perereca-de-alcatrazes,2
macaco-barrigudo,3
peixe-boi,3
tambaqui,2
jacutinga,3
jacare-coroa,6
ariranha,2
queixada,2
aguia-cinzenta,1
lambari,1
jandaia-amarela,2
sapo-cururu,5
pirarucu,2
jaguatirica,5
boto-cor-de-rosa,3
jabuti,7
chimpanze,3
matrinxa,2
ra-pimenta,4
mariposa,2
mico-leao-dourado,4
sapo-de-chifre,1
guara,6
urutu-cruzeiro,1
gato-maracaja,7
raia-chita,4
onca-pintada,6
chaua,6
papagaio-de-cara-roxa,1
arara-caninde,7
harpia,7
joaninha,2
lobo-guara,4
macuco,7
mono-carvoeiro,1
macaco-aranha,7
abelha,7
pavo,5
bugio,6
ra-flecha-azul,1
pato-de-crista,1
sapo-barriga-de-fogo,7
mutum,6
anta,5
jacurutu,2
sauva-limao,5
arara-azul,4
tracaja,1
tubarao-raposa,1
cobra-cipo,4
murucututu,4
ema,4
jararaca-ilhoa,1
urso-de-oculos,1
bicho-pau,3
