animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
