animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
swan,n,y,y,n,y,y,n,n,y,y,n,n,2,y,n,y,2
tuatara,n,n,y,n,n,n,y,y,y,y,n,n,4,y,n,n,3
bass,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,n,4
hare,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,n,1
chub,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,n,4
pitviper,n,n,y,n,n,n,y,y,y,y,y,n,0,y,n,n,3
mole,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,n,1
ostrich,n,y,y,n,n,n,n,n,y,y,n,n,2,y,n,y,2
cavy,y,n,n,y,n,n,n,y,y,y,n,n,4,n,y,n,1
pike,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,y,4
elephant,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,y,1
girl,y,n,n,y,n,n,y,y,y,y,n,n,2,n,y,y,1
pony,y,n,n,y,n,n,n,y,y,y,n,n,4,y,y,y,1
parakeet,n,y,y,n,y,n,n,n,y,y,n,n,2,y,y,n,2
frog,n,n,y,n,n,y,y,y,y,y,n,n,4,n,n,n,5
leopard,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
catfish,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,n,4
giraffe,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,y,1
housefly,y,n,y,n,y,n,n,n,n,y,n,n,6,n,n,n,6
buffalo,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,y,1
stingray,n,n,y,n,n,y,y,y,y,n,y,y,0,y,n,y,4
newt,n,n,y,n,n,y,y,y,y,y,n,n,4,y,n,n,5
skimmer,n,y,y,n,y,y,y,n,y,y,n,n,2,y,n,n,2
ladybird,n,n,y,n,y,n,y,n,n,y,n,n,6,n,n,n,6
dolphin,n,n,n,y,n,y,y,y,y,y,n,y,0,y,n,y,1
crab,n,n,y,n,n,y,y,n,n,n,n,n,4,n,n,n,7
vulture,n,y,y,n,y,n,y,n,y,y,n,n,2,y,n,y,2
crow,n,y,y,n,y,n,y,n,y,y,n,n,2,y,n,n,2
pheasant,n,y,y,n,y,n,n,n,y,y,n,n,2,y,n,n,2
sealion,y,n,n,y,n,y,y,y,y,y,n,y,2,y,n,y,1
antelope,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,y,1
seal,y,n,n,y,n,y,y,y,y,y,n,y,0,n,n,y,1
clam,n,n,y,n,n,n,y,n,n,n,n,n,0,n,n,n,7
wren,n,y,y,n,y,n,n,n,y,y,n,n,2,y,n,n,2
slug,n,n,y,n,n,n,n,n,n,y,n,n,0,n,n,n,7
lobster,n,n,y,n,n,y,y,n,n,n,n,n,6,n,n,n,7
seawasp,n,n,y,n,n,y,y,n,n,n,y,n,0,n,n,n,7
platypus,y,n,y,y,n,y,y,n,y,y,n,n,4,y,n,y,1
herring,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,n,4
puma,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
lark,n,y,y,n,y,n,n,n,y,y,n,n,2,y,n,n,2
flamingo,n,y,y,n,y,n,n,n,y,y,n,n,2,y,n,y,2
sparrow,n,y,y,n,y,n,n,n,y,y,n,n,2,y,n,n,2
gorilla,y,n,n,y,n,n,n,y,y,y,n,n,2,n,n,y,1
crayfish,n,n,y,n,n,y,y,n,n,n,n,n,6,n,n,n,7
pussycat,y,n,n,y,n,n,y,y,y,y,n,n,4,y,y,y,1
gnat,n,n,y,n,y,n,n,n,n,y,n,n,6,n,n,n,6
dogfish,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,y,4
fruitbat,y,n,n,y,y,n,n,y,y,y,n,n,2,y,n,n,1
goat,y,n,n,y,n,n,n,y,y,y,n,n,4,y,y,y,1
squirrel,y,n,n,y,n,n,n,y,y,y,n,n,2,y,n,n,1
cheetah,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
vampire,y,n,n,y,y,n,n,y,y,y,n,n,2,y,n,n,1
sole,n,n,y,n,n,y,n,y,y,n,n,y,0,y,n,n,4
scorpion,n,n,n,n,n,n,y,n,n,y,y,n,8,y,n,n,7
opossum,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,n,1
rhea,n,y,y,n,n,n,y,n,y,y,n,n,2,y,n,y,2
oryx,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,y,1
chicken,n,y,y,n,y,n,n,n,y,y,n,n,2,y,y,n,2
deer,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,y,1
hawk,n,y,y,n,y,n,y,n,y,y,n,n,2,y,n,n,2
dove,n,y,y,n,y,n,n,n,y,y,n,n,2,y,y,n,2
lion,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
piranha,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,n,4
gull,n,y,y,n,y,y,y,n,y,y,n,n,2,y,n,n,2
raccoon,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
frog,n,n,y,n,n,y,y,y,y,y,y,n,4,n,n,n,5
vole,y,n,n,y,n,n,n,y,y,y,n,n,4,y,n,n,1
aardvark,y,n,n,y,n,n,y,y,y,y,n,n,4,n,n,y,1
flea,n,n,y,n,n,n,n,n,n,y,n,n,6,n,n,n,6
duck,n,y,y,n,y,y,n,n,y,y,n,n,2,y,n,n,2
wasp,y,n,y,n,y,n,n,n,n,y,y,n,6,n,n,n,6
worm,n,n,y,n,n,n,n,n,n,y,n,n,0,n,n,n,7
reindeer,y,n,n,y,n,n,n,y,y,y,n,n,4,y,y,y,1
hamster,y,n,n,y,n,n,n,y,y,y,n,n,4,y,y,n,1
bear,y,n,n,y,n,n,y,y,y,y,n,n,4,n,n,y,1
starfish,n,n,y,n,n,y,y,n,n,n,n,n,5,n,n,n,7
penguin,n,y,y,n,n,y,y,n,y,y,n,n,2,y,n,y,2
tortoise,n,n,y,n,n,n,n,n,y,y,n,n,4,y,n,y,3
kiwi,n,y,y,n,n,n,y,n,y,y,n,n,2,y,n,n,2
polecat,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
honeybee,y,n,y,n,y,n,n,n,n,y,y,n,6,n,y,n,6
skua,n,y,y,n,y,y,y,n,y,y,n,n,2,y,n,n,2
porpoise,n,n,n,y,n,y,y,y,y,y,n,y,0,y,n,y,1
seahorse,n,n,y,n,n,y,n,y,y,n,n,y,0,y,n,n,4
moth,y,n,y,n,y,n,n,n,n,y,n,n,6,n,n,n,6
lynx,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
slowworm,n,n,y,n,n,n,y,y,y,y,n,n,0,y,n,n,3
wallaby,y,n,n,y,n,n,n,y,y,y,n,n,2,y,n,y,1
octopus,n,n,y,n,n,y,y,n,n,n,n,n,8,n,n,y,7
carp,n,n,y,n,n,y,n,y,y,n,n,y,0,y,y,n,4
mongoose,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
haddock,n,n,y,n,n,y,n,y,y,n,n,y,0,y,n,n,4
toad,n,n,y,n,n,y,n,y,y,y,n,n,4,n,n,n,5
calf,y,n,n,y,n,n,n,y,y,y,n,n,4,y,y,y,1
boar,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
tuna,n,n,y,n,n,y,y,y,y,n,n,y,0,y,n,y,4
mink,y,n,n,y,n,y,y,y,y,y,n,n,4,y,n,y,1
seasnake,n,n,n,n,n,y,y,y,y,n,y,n,0,y,n,n,3
termite,n,n,y,n,n,n,n,n,n,y,n,n,6,n,n,n,6
wolf,y,n,n,y,n,n,y,y,y,y,n,n,4,y,n,y,1
